"","yr","seas","gender","growpattern","birthseas","fleet","age0","age1","age2","age3","age4","age5","age6","age7","age8","age9","age10","age11","age12","age13","age14","age15","age16","age17","age18","age19","age20","age21","age22","age23","age24","age25"
"71",71,1,1,1,1,1,0.0311902,0.26383240771412,1.19510719014083,2.71325151180752,4.70325113273171,6.9145637307396,9.15167556364918,11.366840639064,13.4308528822533,15.2757848396928,16.9516989609979,18.2998008940722,19.3712692271922,20.5713197520782,21.0937763323077,22.6971972063875,23.1948008311111,23.3665509608497,23.5383010905883,23.7100512203269,23.8818013500656,25.2958003035217,25.0361125282501,24.7764247529785,24.5167369777069,25.4604118512477
"74",74,1,1,1,1,1,0.0311902,0.268960938802106,1.19018869513497,2.71854283656847,4.70454585827816,6.84097588392286,9.13707315432037,11.3244510408564,13.2888161879047,15.2682722240477,16.8751371514846,17.8188498909167,19.4398625859972,20.6952654303698,21.4128985819824,22.130531733595,22.3299546534323,22.9062741593862,23.48259366534,24.0589131712938,25.642927656932,25.642927656932,25.642927656932,25.642927656932,25.642927656932,25.642927656932
"77",77,1,1,1,1,1,0.0311902,0.27365467406146,1.1908719498198,2.72060236837239,4.68417712545928,6.85055497559993,9.17819204591602,11.4027684222309,13.3005304984615,15.1735431489066,16.8044663225563,18.266448123676,19.0503921822978,20.3798551335112,21.1744760158684,22.0064876341778,22.8384992524872,23.3915196567608,23.1983882065575,23.8443307021058,24.4902731976542,24.6023276898634,24.7143821820727,24.8264366742819,24.8264366742819,24.8264366742819
"80",80,1,1,1,1,1,0.0311902,0.265922713310911,1.19638945388202,2.72978393403237,4.6936545216449,6.88735002642853,9.16432249446386,11.314519392572,13.4131812309201,15.262804872402,16.7651825011435,18.2498996293321,19.2749961127807,20.2873996706529,21.4433252269971,22.3169216719549,22.581328591267,23.1320806881183,23.6828327849696,22.495771874043,24.0266869482142,25.5576020223854,25.271856536585,24.9861110507847,24.7003655649843,24.4146200791839
"83",83,1,1,1,1,1,0.0311902,0.270862276379869,1.18608199647164,2.72745743064496,4.73244128346318,6.8724362955996,9.18069025548653,11.3562211101775,13.4604341746263,15.2159664643041,16.7687950522231,18.4458033414742,19.3883484290835,20.4555602211645,21.5227720132455,22.4871320251462,22.6719149232175,23.1629423318463,23.0985519958972,23.5719098640442,24.0452677321912,24.5186256003381,24.9919834684851,24.7070395815591,24.0817432284939,24.0817432284939
"86",86,1,1,1,1,1,0.0311902,0.263036073266642,1.19706072470627,2.71463348554481,4.7106781138582,6.93702733449403,9.13680993402193,11.1847053656587,13.4602568720923,15.1905790973722,16.9053520112475,17.9077333172979,19.3195052587363,20.2894126220237,21.4711238883997,22.0467035611674,22.8024927483663,23.5582819355653,24.2486974926459,24.9391130497266,24.8335434645823,24.727973879438,24.6224042942937,24.5168347091494,25.753420372369,26.9900060355887
"89",89,1,1,1,1,1,0.0311902,0.264655680922312,1.19047318466015,2.71619676457874,4.69884710634814,6.96717139763724,9.19955332793362,11.3716938565166,13.5226262837201,15.1533535707175,16.8414520280864,18.0941065454983,19.5076862959382,20.5657103396849,21.7256041484745,21.47054805411,22.0392801883179,23.0481307054349,21.9373362502625,22.3640847137566,22.7908331772507,23.2175816407449,23.644330104239,24.0710785677331,24.4978270312273,25.702954555756
"92",92,1,1,1,1,1,0.0311902,0.270709801393523,1.19789910803329,2.72425409763561,4.70213520069138,6.90269288621722,9.08757955401504,11.2971249382769,13.2753620222875,15.0396940468215,16.6300816180043,18.3144614888634,19.4435516734256,20.458052682352,21.5929400694886,21.7065341649318,22.65228829264,23.6044888303644,24.5566893680889,23.8981270279164,24.7657889744985,26.3386051190712,26.3386051190712,26.3386051190712,26.3386051190712,26.3386051190712
"95",95,1,1,1,1,1,0.0311902,0.273060456390827,1.17894661893274,2.70549855259216,4.67169950794202,6.90779384503221,9.12137240198336,11.3761847227834,13.3935581638576,15.1474051748129,16.6012693117769,18.4081984427374,19.7209113081613,20.5225830924266,21.8733696273121,21.6095336907162,22.8968022611008,23.4818229834004,24.0059763281423,24.1410280342943,24.2760797404463,24.2306307191507,24.1851816978552,24.1851816978552,24.1851816978552,24.1851816978552
"98",98,1,1,1,1,1,0.0311902,0.269559251201912,1.18458982092232,2.73049558989925,4.7277495247581,6.91507663860152,9.21478269923255,11.2348272016,13.4017147174326,15.176221886374,16.5322305652207,18.3386451573243,19.4139069218719,20.3365309159418,21.2591549100117,22.4832978515951,23.0309176925862,23.5298717874942,24.0288258824022,23.7107598283134,24.7108747071412,25.1915100394083,24.1595486647246,24.1595486647246,24.1595486647246,24.1595486647246
