"yr" "seas" "gender" "growpattern" "birthseas" "fleet" "age0" "age1" "age2" "age3" "age4" "age5" "age6" "age7" "age8" "age9" "age10" "age11" "age12" "age13" "age14" "age15" "age16" "age17" "age18" "age19" "age20" "age21" "age22" "age23" "age24" "age25"
"13" 13 1 1 1 1 1 0.0311902 0.269836023592153 1.18640972201667 2.72433988857379 4.69873764790803 6.8604385574141 9.15186005843337 11.237007187153 13.2472771394564 15.5580868818923 16.6185358286106 18.0300041489593 19.3420734026779 20.6468537681661 21.6959638310961 22.1667841158267 23.2643165052986 23.2664312580752 24.3166203176065 24.2478008068822 NA NA 25.12421700767 24.1877008658328 NA 25.4330926588457
"14" 14 1 1 1 1 1 0.0311902 0.273613969201441 1.19166473223997 2.7237307356755 4.69633480415403 6.90786955416716 9.09774713990251 11.4598020370631 13.3281748888545 15.2149160196565 16.4745105407547 18.2806939206714 19.6612390327645 20.3146892854802 21.2468540393138 22.6900288991348 22.7061127430954 23.373197517913 23.2923275327297 24.6465974281087 24.3049057868552 24.7300116029431 24.4215299646251 25.7771224042454 NA 24.8112944018897
"15" 15 1 1 1 1 1 0.0311902 0.268607380836427 1.19237332166764 2.75522125452676 4.70926185439189 6.86046922179708 9.22639933011055 11.34833976578 13.3737282826266 15.173903361413 16.999300712405 18.5369866280915 19.5372232169885 20.6343691696556 21.3834836082848 22.0922183830719 23.1199304139162 23.1463454528645 NA 23.8661747244468 23.1938648463412 24.956751844667 24.4384512831904 NA 25.6894323782885 24.9641151097921
"16" 16 1 1 1 1 1 0.0311902 0.268802528686811 1.19783932737297 2.71095065355784 4.77697727930086 6.90332406624237 9.22289463746893 11.3195354641549 13.3723710375409 15.2428141592612 16.7315920374178 18.2269388084793 19.5975535153425 20.4385929861425 21.392873929428 22.4020946714983 22.1009789551498 23.0754480075042 23.2184985423802 23.778185713635 23.8338661436323 24.5652635140105 25.0790448751493 24.9676339212435 24.2207498980757 24.5902118304811
"17" 17 1 1 1 1 1 0.0311902 0.2682205991522 1.17778662292874 2.70741578135277 4.70199051746471 6.85698584805848 9.20137680432165 11.2878827500863 13.3937826951211 15.1477425507141 16.9038959743475 18.368980864927 19.702550222779 20.4720034100526 21.2275396028897 21.9258262241546 22.495650852547 22.9142912903467 23.637114122417 23.9322055781412 23.8561071090281 24.277436621285 24.3477798692757 24.9457457246133 25.1440411600562 25.3145469709721
"18" 18 1 1 1 1 1 0.0311902 0.266883490250757 1.1784143826215 2.7209177552154 4.71514742048596 6.88593520728461 9.16213371851962 11.3660584980124 13.418388997089 15.3521496807192 16.734259970198 18.394119513541 19.719073991528 20.5470064347723 21.0692647847391 22.3764662612618 22.6423022583768 23.0181001491248 23.3690120300233 23.5623393219527 24.7166794177523 24.1512163948914 25.2312442223865 24.3502819477096 NA 24.9003429027739
"19" 19 1 1 1 1 1 0.0311902 0.272025014417929 1.18662300403228 2.7002477456255 4.67637438905936 6.9154914571255 9.15877601647747 11.2568818338206 13.5103002706193 15.2460138125872 16.6333053347995 18.2330588076791 19.2987605116073 20.359921674332 21.4033026114251 22.1556544525554 22.8407839273878 23.2740504331145 23.6728999074437 24.0484423933264 NA 24.3577040335268 24.3598278202074 25.4925156531168 NA 24.8798496491433
"20" 20 1 1 1 1 1 0.0311902 0.272691993352324 1.18280765185849 2.73348291345349 4.67362771635208 6.92055320622642 9.16420905942699 11.3423462833651 13.2838645629916 15.202363778741 16.8348584661817 18.2880069211434 19.3666494218222 20.3692435839593 21.233997663878 22.2608917973856 23.1372005332721 23.0762505369893 23.6556797812575 23.738367259325 NA 24.3523631973347 NA 24.8250653464254 24.9780557857646 25.7185428861035
"21" 21 1 1 1 1 1 0.0311902 0.269050641337575 1.18969607619561 2.72835645454107 4.67939963547955 6.88656452371779 9.22114619602176 11.2273335992002 13.4940748018697 15.3307943863575 16.8421749457718 18.2770095500491 19.4123648483995 20.7012558099892 20.8889674103213 21.9273881441845 22.6632118410286 23.9941609651546 23.7694192645556 24.1186709164581 24.1672221920416 25.3744632636338 26.0498557383173 NA 25.022341021027 25.5125445951078
"22" 22 1 1 1 1 1 0.0311902 0.267355513365217 1.18851878496672 2.71735585686007 4.70335267018076 6.90511657179216 9.14411513936873 11.3976709460752 13.2818187913795 15.0628794523325 16.60405484494 18.2805104048297 19.2851886650464 20.5136900810574 21.4454283590932 21.9134736515074 NA 23.7033015096316 NA 23.8372701145714 24.1514296430646 NA 24.7249389494463 NA 25.2472864076306 25.1488510214785
"23" 23 1 1 1 1 1 0.0311902 0.269100769869735 1.18574681869151 2.74365323497709 4.68142684077812 6.91192290167224 9.09614274297538 11.2739317667162 13.4188877458717 15.1382758982481 16.706332464268 17.9332668644256 19.6356543553872 20.5274752237761 21.4040871285858 22.2392489977002 22.2665024807954 23.2694487819364 23.6970721132142 23.1815585141317 24.7953075052156 24.5519282744829 25.8304420062353 NA 26.0529275209401 25.0163683027149
"24" 24 1 1 1 1 1 0.0311902 0.268944372990628 1.18114069390705 2.72105434222753 4.69472531212685 6.92719300952794 9.20043604772938 11.3908356766312 13.3138619143454 15.5025125555002 16.790612625346 18.3456652745075 19.5197036077425 19.8782164857695 21.3159324980635 22.2839576813622 22.7465384231145 23.1135044709856 23.5891804370951 24.9792344952322 NA 23.3118158729141 NA 24.9290223408501 NA 24.6510946804595
"25" 25 1 1 1 1 1 0.0311902 0.272513797609069 1.19206578306388 2.71282772299269 4.72433312904605 6.91947199252696 9.18481912986599 11.3835810334587 13.3062462253693 15.548469316102 16.6411297258932 18.2685049346512 19.5568611518232 20.2617704481267 20.6293534588127 22.2158137704453 22.9538846142628 22.8526695451139 22.9446724567955 23.7174899544047 24.4735628111498 23.9915631414936 24.2692150328178 25.0485874308001 NA 25.2467803501731
"26" 26 1 1 1 1 1 0.0311902 0.273605145548223 1.19361709841801 2.73721456635725 4.68470542382909 6.90052625864641 9.19886142054906 11.3745814841635 13.3156307583544 14.9589567904895 16.8424305934526 18.1100305204188 20.1697974897215 20.9212419206687 20.191325981039 22.3408364807928 23.000408942979 NA NA 23.5792605591746 25.0007102045058 NA NA NA 25.6723066702242 25.0874953345573
"27" 27 1 1 1 1 1 0.0311902 0.267337689049537 1.1812355094017 2.7118352356105 4.65425130024009 6.90910191107256 9.17976484585346 11.3362964210515 13.4552293785438 15.0650072470512 16.6840534154685 18.6157366753221 20.0311927486888 20.1604180779586 21.7799777417731 21.9360128396093 22.3870449830273 23.3432171233832 NA 23.8276946139872 24.456083548416 NA NA NA NA 25.1918628662663
